Date	Category	Non-Capital	Capital	% Business Use	Business Cost	Nett GST	GST Paid	Notes
27 Jul 2023	54 PINES ROAD EXPENSES	$148.50	-	100%	$148.50	$135.00	$13.50	Service of generator
19 Dec 2023	54 PINES ROAD EXPENSES	$233.58	-	100%	$233.58	$212.35	$21.23	Fuel for ride-on mower
27 Jul 2023	54 PINES ROAD EXPENSES	$24.00	-	100%	$24.00	$21.82	$2.18	Plants
30 Mar 2024	54 PINES ROAD EXPENSES	$159.30	-	100%	$159.30	$144.82	$14.48	Fuel for ride-on mower
16 Oct 2023	54 PINES ROAD EXPENSES	$19.50	-	100%	$19.50	$17.73	$1.77	Algaecide BILLABONG POOL SERVICE NOOSAVILLE
16 Oct 2023	54 PINES ROAD EXPENSES	$196.37	-	100%	$196.37	$178.52	$17.85	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
10 Jan 2024	54 PINES ROAD EXPENSES	$80.00	-	100%	$80.00	$72.73	$7.27	Re-upholster kitchen chair
11 Jan 2024	54 PINES ROAD EXPENSES	$202.62	-	100%	$202.62	$184.20	$18.42	Petrol for ride-on mower
16 Oct 2023	54 PINES ROAD EXPENSES	$55.45	-	100%	$55.45	$50.41	$5.04	LS POOL WORLD NOOSA NOOSAVILLE
05 Apr 2024	54 PINES ROAD EXPENSES	$571.65	-	100%	$571.65	$519.68	$51.97	Mobile service for rise-on mower
13 Jan 2024	54 PINES ROAD EXPENSES	$45.72	-	100%	$45.72	$41.56	$4.16	Bird netting for treest
15 Jan 2024	54 PINES ROAD EXPENSES	$80.00	-	100%	$80.00	$72.73	$7.27	Reupholstering kitchen chairs
19 Dec 2023	54 PINES ROAD EXPENSES	$153.64	-	100%	$153.64	$139.67	$13.97	Salt and pool chemicals
12 Aug 2023	54 PINES ROAD EXPENSES	$162.29	-	100%	$162.29	$147.54	$14.75	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
08 Apr 2024	54 PINES ROAD EXPENSES	$1,100.00	-	100%	$1,100.00	$1,000.00	$100.00	PRO300H Renegade Industrial 3000PSI Honda Engine Pressure Washer
20 Jan 2024	54 PINES ROAD EXPENSES	$38.55	-	100%	$38.55	$35.05	$3.50	SUNSHINE MITRE 10 COOROY
21 Jan 2024	54 PINES ROAD EXPENSES	$58.88	-	100%	$58.88	$53.53	$5.35	BUNNINGS 335000 - Visa Purchase - Receipt 171571In NOOSAVILLE Date 18 Jan 2024 Card 462263xxxxxx1990
17 Oct 2023	54 PINES ROAD EXPENSES	$16.08	-	100%	$16.08	$14.62	$1.46	THINK WATER NOOSA NOOSAVILLE
20 Oct 2023	54 PINES ROAD EXPENSES	$651.27	-	100%	$651.27	$592.06	$59.21	Origin energy
20 Oct 2023	54 PINES ROAD EXPENSES	$59.00	-	100%	$59.00	$53.64	$5.36	BILLABONG POOL SERVICE NOOSAVILLE
17 Aug 2023	54 PINES ROAD EXPENSES	$462.00	-	100%	$462.00	$420.00	$42.00	New Hisense television
20 Oct 2023	54 PINES ROAD EXPENSES	$513.77	-	100%	$513.77	$467.06	$46.71	Electricity
18 Aug 2023	54 PINES ROAD EXPENSES	$15.68	-	100%	$15.68	$14.25	$1.43	SUNSHINE MITRE 10 COOROY
18 Aug 2023	54 PINES ROAD EXPENSES	$851.09	-	100%	$851.09	$773.72	$77.37	Mobile mechanic - ride-on mower MMM NOOSA PTY LTD NOOSAVILLE AU
18 Aug 2023	54 PINES ROAD EXPENSES	$1,902.10	-	100%	$1,902.10	$1,729.18	$172.92	New Chlorinator BILLABONG POOL SERVICE NOOSAVILLE
18 Aug 2023	54 PINES ROAD EXPENSES	$1,018.38	-	100%	$1,018.38	$925.80	$92.58	Nossa COuncil Rates
24 Jan 2024	54 PINES ROAD EXPENSES	$52.80	-	100%	$52.80	$48.00	$4.80	Kawasaki oil filter and oil for ride-on mower
24 Jan 2024	54 PINES ROAD EXPENSES	$200.78	-	100%	$200.78	$182.53	$18.25	Electricity
21 Dec 2023	54 PINES ROAD EXPENSES	$143.05	-	100%	$143.05	$130.05	$13.00	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
24 Aug 2023	54 PINES ROAD EXPENSES	$58.40	-	100%	$58.40	$53.09	$5.31	BUNNINGS 335000 NOOSAVILLE
21 Oct 2023	54 PINES ROAD EXPENSES	$118.10	-	100%	$118.10	$107.36	$10.74	New lights for bathrooms x 2
23 Oct 2023	54 PINES ROAD EXPENSES	$159.83	-	100%	$159.83	$145.30	$14.53	Noosa Gas 
22 Dec 2023	54 PINES ROAD EXPENSES	$218.50	-	100%	$218.50	$198.64	$19.86	Brushcutter service COOROY OUTDOOR POWER COOROY
24 Jan 2024	54 PINES ROAD EXPENSES	$663.42	-	100%	$663.42	$603.11	$60.31	Electricity
28 Aug 2023	54 PINES ROAD EXPENSES	$17.90	-	100%	$17.90	$16.27	$1.63	Potting Mix Pomona Ag Supplies POMONA
28 Aug 2023	54 PINES ROAD EXPENSES	$25.50	-	100%	$25.50	$23.18	$2.32	Plants SQ *NOOSA LANDCARE Pomona
16 Apr 2024	54 PINES ROAD EXPENSES	$167.40	-	100%	$167.40	$152.18	$15.22	Replacement gaskets and leader hose for pool
01 Feb 2024	54 PINES ROAD EXPENSES	$39.00	-	100%	$39.00	$35.45	$3.55	New shaft for brush cutter 
16 Apr 2024	54 PINES ROAD EXPENSES	$112.71	-	100%	$112.71	$102.46	$10.25	Pool chemicals and polythene temporary downpipes
16 Apr 2024	54 PINES ROAD EXPENSES	$60.50	-	100%	$60.50	$55.00	$5.50	LED light globes. Haymans Elctrical Noosaville
06 Feb 2024	54 PINES ROAD EXPENSES	$15.56	-	100%	$15.56	$14.15	$1.41	SUNSHINE MITRE 10 COOROY
05 Sep 2023	54 PINES ROAD EXPENSES	$80.00	-	100%	$80.00	$72.73	$7.27	SEQ waste water management
18 Apr 2024	54 PINES ROAD EXPENSES	$41.42	-	100%	$41.42	$37.65	$3.77	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
04 Nov 2023	54 PINES ROAD EXPENSES	$40.81	-	100%	$40.81	$37.10	$3.71	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
06 Sep 2023	54 PINES ROAD EXPENSES	$20.00	-	100%	$20.00	$18.18	$1.82	Puncture repair for ride on mower 
18 Apr 2024	54 PINES ROAD EXPENSES	$603.98	-	100%	$603.98	$549.07	$54.91	Electricity
18 Apr 2024	54 PINES ROAD EXPENSES	$741.48	-	100%	$741.48	$674.07	$67.41	Electricity
09 Nov 2023	54 PINES ROAD EXPENSES	$260.00	-	100%	$260.00	$236.36	$23.64	Plumber - attempted repairs to toilet
19 Apr 2024	54 PINES ROAD EXPENSES	$49.90	-	100%	$49.90	$45.36	$4.54	Start pack for worm garden
16 Sep 2023	54 PINES ROAD EXPENSES	$40.50	-	100%	$40.50	$36.82	$3.68	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
18 Sep 2023	54 PINES ROAD EXPENSES	$84.00	-	100%	$84.00	$76.36	$7.64	BILLABONG POOL SERVICE NOOSAVILLE
18 Sep 2023	54 PINES ROAD EXPENSES	$93.39	-	100%	$93.39	$84.90	$8.49	Fiuel for ride on mower
10 Nov 2023	54 PINES ROAD EXPENSES	$232.07	-	100%	$232.07	$210.97	$21.10	Electician - install lights in bathrooms
16 Feb 2024	54 PINES ROAD EXPENSES	$280.00	-	100%	$280.00	$254.55	$25.45	Reupholstering kitchen chairs
19 Feb 2024	54 PINES ROAD EXPENSES	$161.35	-	100%	$161.35	$146.68	$14.67	Noosa Gas
19 Feb 2024	54 PINES ROAD EXPENSES	$61.95	-	100%	$61.95	$56.32	$5.63	SUNSHINE HARDWARE PT COOROY
20 Feb 2024	54 PINES ROAD EXPENSES	$210.00	-	100%	$210.00	$190.91	$19.09	Re-webb three chairs with jute webbing
29 Sep 2023	54 PINES ROAD EXPENSES	$35.25	-	100%	$35.25	$32.05	$3.20	Plants
29 Sep 2023	54 PINES ROAD EXPENSES	$651.27	-	100%	$651.27	$592.06	$59.21	Electricity
01 Mar 2024	54 PINES ROAD EXPENSES	$420.00	-	100%	$420.00	$381.82	$38.18	Reupholstering kitchen chairs
10 Nov 2023	54 PINES ROAD EXPENSES	$227.24	-	100%	$227.24	$206.58	$20.66	Install new lights bathrooms
25 Apr 2024	54 PINES ROAD EXPENSES	$207.50	-	100%	$207.50	$188.64	$18.86	Fuel for ride-on mower
12 Nov 2023	54 PINES ROAD EXPENSES	$26.00	-	100%	$26.00	$23.64	$2.36	Joiner hose and mounting tape
13 Nov 2023	54 PINES ROAD EXPENSES	$52.95	-	100%	$52.95	$48.14	$4.81	Liquid chlorine
13 Nov 2023	54 PINES ROAD EXPENSES	$80.00	-	100%	$80.00	$72.73	$7.27	SEQ Waste Water Management
26 Apr 2024	54 PINES ROAD EXPENSES	$82.50	-	100%	$82.50	$75.00	$7.50	Waterloo 40 mm non-return valve for pool
13 Nov 2023	54 PINES ROAD EXPENSES	$1,295.99	-	100%	$1,295.99	$1,178.17	$117.82	NOOSA SHIRE COUNCIL EP TEWANTIN
30 Apr 2024	54 PINES ROAD EXPENSES	$12.50	-	100%	$12.50	$11.36	$1.14	Hose coupler
01 May 2024	54 PINES ROAD EXPENSES	$16.26	-	100%	$16.26	$14.78	$1.48	Plants
16 Nov 2023	54 PINES ROAD EXPENSES	$100.68	-	100%	$100.68	$91.53	$9.15	2 plastic fixings for mounting wall toilet + flush pipe Kee seal 
16 Nov 2023	54 PINES ROAD EXPENSES	$33.59	-	100%	$33.59	$30.54	$3.05	Low foaming floor cleaner
17 Nov 2023	54 PINES ROAD EXPENSES	$538.81	-	100%	$538.81	$489.83	$48.98	Installation of new ceiling fan
01 May 2024	54 PINES ROAD EXPENSES	$119.53	-	100%	$119.53	$108.66	$10.87	Plants
20 Nov 2023	54 PINES ROAD EXPENSES	$104.00	-	100%	$104.00	$94.55	$9.45	Native tube stock plants
21 Nov 2023	54 PINES ROAD EXPENSES	$112.04	-	100%	$112.04	$101.85	$10.19	Paint sandpaper for chair repairs
21 Nov 2023	54 PINES ROAD EXPENSES	$129.00	-	100%	$129.00	$117.27	$11.73	APPLE TV+ annual plan
22 Nov 2023	54 PINES ROAD EXPENSES	$42.53	-	100%	$42.53	$38.66	$3.87	Liquid nails kill rust paint for chair repair
24 May 2024	54 PINES ROAD EXPENSES	$83.00	-	100%	$83.00	$75.45	$7.55	SEQ waste water management
03 Jul 2023	7 REES ST EXPENSES	$803.64	-	100%	$803.64	$730.58	$73.06	Electricity ORIGIN ENERGY 
24 Nov 2023	7 REES ST EXPENSES	$2.85	-	100%	$2.85	$2.59	$0.26	AIRB&B expense COLES NEWMARKET 4528 NEWMARKET
29 Sep 2023	7 REES ST EXPENSES	$110.62	-	100%	$110.62	$100.56	$10.06	Gas ORIGIN ENERGY LTD 
27 Feb 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
28 Feb 2024	7 REES ST EXPENSES	$2,802.00	-	100%	$2,802.00	$2,547.27	$254.73	House and Contents Insurance 
28 Feb 2024	7 REES ST EXPENSES	$409.00	-	100%	$409.00	$371.82	$37.18	Mattress DB deluxe comfort
27 Nov 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
10 Jul 2023	7 REES ST EXPENSES	$74.18	-	100%	$74.18	$67.44	$6.74	BUNNINGS WAREHOUSE STAF STAFFORD
10 Jul 2023	7 REES ST EXPENSES	$16.80	-	100%	$16.80	$15.27	$1.53	Air B&B expenses 
11 Jul 2023	7 REES ST EXPENSES	$418.88	-	100%	$418.88	$380.80	$38.08	Urban Utilities water and sewerage
11 Jul 2023	7 REES ST EXPENSES	$1,413.55	-	100%	$1,413.55	$1,285.05	$128.50	BCC Rates
15 Jul 2023	7 REES ST EXPENSES	$43.25	-	100%	$43.25	$39.32	$3.93	Cleaning materials
17 Jul 2023	7 REES ST EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	Repairs to Roman Blinds
07 Dec 2023	7 REES ST EXPENSES	$110.42	-	100%	$110.42	$100.38	$10.04	Plants potting mix, watering can
07 Dec 2023	7 REES ST EXPENSES	$260.80	-	100%	$260.80	$237.09	$23.71	Towels hand mixer, solar lights, clock movement, tea towels and sundry items
08 Dec 2023	7 REES ST EXPENSES	$81.87	-	100%	$81.87	$74.43	$7.44	BUNNINGS 363000 BIRTINYA
08 Dec 2023	7 REES ST EXPENSES	$98.49	-	100%	$98.49	$89.54	$8.95	COLES 4528 - Visa Purchase - Receipt 122648In NEWMARKET Date 07 Dec 2023 Card 462263xxxxxx7489
11 Dec 2023	7 REES ST EXPENSES	$127.04	-	100%	$127.04	$115.49	$11.55	Coffee tea, cleaning supplies, toilet paper, milk
11 Dec 2023	7 REES ST EXPENSES	$32.00	-	100%	$32.00	$29.09	$2.91	Sunscreen treatment for swimming pool
12 Dec 2023	7 REES ST EXPENSES	$40.88	-	100%	$40.88	$37.16	$3.72	COLES 4528 - Visa Purchase - Receipt 174507In NEWMARKET Date 11 Dec 2023 Card 462263xxxxxx7489
13 Dec 2023	7 REES ST EXPENSES	$32.00	-	100%	$32.00	$29.09	$2.91	Pool chemicals
19 Dec 2023	7 REES ST EXPENSES	$9.00	-	100%	$9.00	$8.18	$0.82	Milk and biscuits for guests Air B&B
27 Jul 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
28 Jul 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	Cleaning of house by cleaners
28 Jul 2023	7 REES ST EXPENSES	$43.65	-	100%	$43.65	$39.68	$3.97	Coffee salt, milk for guests
28 Jul 2023	7 REES ST EXPENSES	$43.65	-	100%	$43.65	$39.68	$3.97	Air B&B expenses
08 Jan 2024	7 REES ST EXPENSES	$164.00	-	100%	$164.00	$149.09	$14.91	Outdoor dining table
09 Jan 2024	7 REES ST EXPENSES	$45.30	-	100%	$45.30	$41.18	$4.12	COLES 4528 - Visa Purchase - Receipt 164605In NEWMARKET Date 08 Jan 2024 Card 462263xxxxxx7489
04 Aug 2023	7 REES ST EXPENSES	$221.81	-	100%	$221.81	$201.65	$20.16	Gas Bill - Origin
11 Jan 2024	7 REES ST EXPENSES	$69.00	-	100%	$69.00	$62.73	$6.27	Replacement lid for filter box
11 Jan 2024	7 REES ST EXPENSES	$69.00	-	100%	$69.00	$62.73	$6.27	BILLABONG POOL SERVICE NOOSAVILLE
12 Jan 2024	7 REES ST EXPENSES	$192.67	-	100%	$192.67	$175.15	$17.52	BUNNINGS 556000 NEWSTEAD
15 Jan 2024	7 REES ST EXPENSES	$60.40	-	100%	$60.40	$54.91	$5.49	Milk kitchen tidy bags, scrubbing brush
20 Jan 2024	7 REES ST EXPENSES	$38.55	-	100%	$38.55	$35.05	$3.50	Battery for scales liquid nails adhesive, Diggers paint cleanup 
14 Aug 2023	7 REES ST EXPENSES	$220.00	-	100%	$220.00	$200.00	$20.00	Payment for air conditioning inspection
14 Aug 2023	7 REES ST EXPENSES	$38.75	-	100%	$38.75	$35.23	$3.52	Air B&B expenses
22 Jan 2024	7 REES ST EXPENSES	$40.75	-	100%	$40.75	$37.05	$3.70	Milk shampoo fir guests
15 Aug 2023	7 REES ST EXPENSES	$106.82	-	100%	$106.82	$97.11	$9.71	BUNNINGS WAREHOUSE STAF STAFFORD
16 Aug 2023	7 REES ST EXPENSES	$165.00	-	100%	$165.00	$150.00	$15.00	AIR B&B Removal of snake from property
22 Jan 2024	7 REES ST EXPENSES	$56.54	-	100%	$56.54	$51.40	$5.14	Cleaner disinfectant, Vilkeda mist mop
22 Jan 2024	7 REES ST EXPENSES	$56.54	-	100%	$56.54	$51.40	$5.14	BUNNINGS WAREHOUSE STAF STAFFORD
22 Jan 2024	7 REES ST EXPENSES	$40.75	-	100%	$40.75	$37.05	$3.70	Air B&B expenses
22 Aug 2023	7 REES ST EXPENSES	$11.85	-	100%	$11.85	$10.77	$1.08	Air B&B expenses
27 Aug 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
27 Jan 2024	7 REES ST EXPENSES	$110.00	-	100%	$110.00	$100.00	$10.00	Internet access
27 Jan 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
31 Jan 2024	7 REES ST EXPENSES	$1,417.70	-	100%	$1,417.70	$1,288.82	$128.88	BCC Rates
01 Feb 2024	7 REES ST EXPENSES	$59.00	-	100%	$59.00	$53.64	$5.36	New shaft for brush cutter $39 plus prior deposit of $20.. cash
31 Aug 2023	7 REES ST EXPENSES	$1,199.00	-	100%	$1,199.00	$1,090.00	$109.00	Initial repairs to air conditioner - two new motors and temperature sensors
02 Feb 2024	7 REES ST EXPENSES	$123.38	-	100%	$123.38	$112.16	$11.22	Liquid chlorine salt, hydrochloric acid for pool
03 Feb 2024	7 REES ST EXPENSES	$79.98	-	100%	$79.98	$72.71	$7.27	Drinking glasses for air B&B 
02 Sep 2023	7 REES ST EXPENSES	$85.06	-	100%	$85.06	$77.33	$7.73	Garden Mulch and plants
06 Feb 2024	7 REES ST EXPENSES	$3.90	-	100%	$3.90	$3.55	$0.35	Masking tape for painting
06 Feb 2024	7 REES ST EXPENSES	$19.95	-	100%	$19.95	$18.14	$1.81	Gorilla glue for repairs
07 Feb 2024	7 REES ST EXPENSES	$4.50	-	100%	$4.50	$4.09	$0.41	COLES 4528 - Visa Purchase - Receipt 128150In NEWMARKET Date 06 Feb 2024 Card 462263xxxxxx7489
06 Sep 2023	7 REES ST EXPENSES	$24.00	-	100%	$24.00	$21.82	$2.18	Toilet paper and soap, washing powder
08 Feb 2024	7 REES ST EXPENSES	$138.97	-	100%	$138.97	$126.34	$12.63	COLES 4528 - Visa Purchase - Receipt 188391In NEWMARKET Date 07 Feb 2024 Card 462263xxxxxx7489
06 Sep 2023	7 REES ST EXPENSES	$42.50	-	100%	$42.50	$38.64	$3.86	Air B&B expenses
09 Feb 2024	7 REES ST EXPENSES	$356.22	-	100%	$356.22	$323.84	$32.38	Deck cleaner paint brush, opting mix, plants,merbau paint varnish 
09 Feb 2024	7 REES ST EXPENSES	$31.51	-	100%	$31.51	$28.65	$2.86	Plant and potting mix
27 Dec 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
10 Feb 2024	7 REES ST EXPENSES	$84.50	-	100%	$84.50	$76.82	$7.68	Soap dispenser toilet brush set, blender
10 Feb 2024	7 REES ST EXPENSES	$530.59	-	100%	$530.59	$482.35	$48.24	Washing machine repairs FALLON SOLUTIONS PTY - Visa Purchase - Receipt 109755In MANSFIELD Date 09 Feb 2024 Card 462263xxxxxx7489
11 Feb 2024	7 REES ST EXPENSES	$46.10	-	100%	$46.10	$41.91	$4.19	Laundry powder can opener
12 Sep 2023	7 REES ST EXPENSES	$18.62	-	100%	$18.62	$16.93	$1.69	BUNNINGS WAREHOUSE STAF STAFFORD
12 Sep 2023	7 REES ST EXPENSES	$28.95	-	100%	$28.95	$26.32	$2.63	Air B&B expenses
11 Feb 2024	7 REES ST EXPENSES	$46.10	-	100%	$46.10	$41.91	$4.19	Air B&B expenses
12 Feb 2024	7 REES ST EXPENSES	$192.08	-	100%	$192.08	$174.62	$17.46	Gas - ORIGIN ENERGY 
14 Feb 2024	7 REES ST EXPENSES	$75.00	-	100%	$75.00	$68.18	$6.82	AG leaf canister (replacement) + aqua pro stabiliser tablet
14 Feb 2024	7 REES ST EXPENSES	$14.50	-	100%	$14.50	$13.18	$1.32	5 litres pool acid
14 Feb 2024	7 REES ST EXPENSES	$93.50	-	100%	$93.50	$85.00	$8.50	Leaf canister for in-line leaf filter stabiliser tablets
21 Sep 2023	7 REES ST EXPENSES	$1,430.00	-	100%	$1,430.00	$1,300.00	$130.00	Repairs to ducted air conditioner - replacement of main board and testing
17 Feb 2024	7 REES ST EXPENSES	$147.00	-	100%	$147.00	$133.64	$13.36	Four replacement pillows and pillow protectors
17 Feb 2024	7 REES ST EXPENSES	$677.82	-	100%	$677.82	$616.20	$61.62	Rees St urban utilities - BPAY Bill Payment - Receipt 503319 To URBAN UTILITIES 101024346000001
21 Feb 2024	7 REES ST EXPENSES	$2,776.00	-	100%	$2,776.00	$2,523.64	$252.36	New gas hot water system (old one had leaking water reservoir and putting out pilot light
22 Feb 2024	7 REES ST EXPENSES	$70.50	-	100%	$70.50	$64.09	$6.41	AIr B&B Toilet rolls coffee milk, dishwashing detergent, sugar for guests
27 Sep 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
22 Feb 2024	7 REES ST EXPENSES	$32.84	-	100%	$32.84	$29.85	$2.99	Silastic screws, (repairs) chlorine for pool 
22 Feb 2024	7 REES ST EXPENSES	$32.84	-	100%	$32.84	$29.85	$2.99	BUNNINGS WAREHOUSE STAF STAFFORD
24 Feb 2024	7 REES ST EXPENSES	$21.70	-	100%	$21.70	$19.73	$1.97	COLES 4528 - Visa Purchase - Receipt 129720In NEWMARKET Date 23 Feb 2024 Card 462263xxxxxx1990
28 Sep 2023	7 REES ST EXPENSES	$92.88	-	100%	$92.88	$84.44	$8.44	SUNLITE MITRE 10 PADDINGTON
25 Feb 2024	7 REES ST EXPENSES	$3,571.28	-	100%	$3,571.28	$3,246.62	$324.66	Hose and contents RACQ INSURANCE EIGHT MILE PLAI
27 Feb 2024	7 REES ST EXPENSES	$1,120.00	-	100%	$1,120.00	$1,018.18	$101.82	New pool pump
29 Sep 2023	7 REES ST EXPENSES	$346.22	-	100%	$346.22	$314.75	$31.47	Electricity Bill
06 Mar 2024	7 REES ST EXPENSES	$60.50	-	100%	$60.50	$55.00	$5.50	Air B&B expenses
02 Jan 2024	7 REES ST EXPENSES	$383.75	-	100%	$383.75	$348.86	$34.89	Gas? Origin Energy
08 Mar 2024	7 REES ST EXPENSES	$225.00	-	100%	$225.00	$204.55	$20.45	Diagnostic inspection of washing machine
11 Apr 2024	7 REES ST EXPENSES	$44.00	-	100%	$44.00	$40.00	$4.00	Laundry powder and battery
08 Mar 2024	7 REES ST EXPENSES	$17.60	-	100%	$17.60	$16.00	$1.60	New length of hose for pool - replacing broken one
08 Mar 2024	7 REES ST EXPENSES	$89.25	-	100%	$89.25	$81.14	$8.11	New balance rods for washing machine
14 Apr 2024	7 REES ST EXPENSES	$53.40	-	100%	$53.40	$48.55	$4.85	COLES 4528 NEWMARKET - EFTPOS Purchase - Receipt 405739Date 14 Apr 2024 Time 10 42AM Card 462263xxxxxx7489
27 Oct 2023	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
11 Nov 2023	7 REES ST EXPENSES	$1,413.55	-	100%	$1,413.55	$1,285.05	$128.50	BCC Rates
21 Oct 2023	7 REES ST EXPENSES	$70.50	-	100%	$70.50	$64.09	$6.41	Detergent
11 Apr 2024	7 REES ST EXPENSES	$21.96	-	100%	$21.96	$19.96	$2.00	Fuel for mower
02 Nov 2023	7 REES ST EXPENSES	$69.00	-	100%	$69.00	$62.73	$6.27	Stainless steel citrus press
02 Nov 2023	7 REES ST EXPENSES	$93.34	-	100%	$93.34	$84.85	$8.49	Fuel can 2 stroke oil, hex key set, Stanley knife
14 Mar 2024	7 REES ST EXPENSES	$15.20	-	100%	$15.20	$13.82	$1.38	Mounting tape and batteries 
02 Nov 2023	7 REES ST EXPENSES	$17.50	-	100%	$17.50	$15.91	$1.59	Leader hose for Kreepy Krawley pool cleaner
02 Nov 2023	7 REES ST EXPENSES	$38.43	-	100%	$38.43	$34.94	$3.49	Scale and rust cleaner multigrain pliers, locking pliers
02 Nov 2023	7 REES ST EXPENSES	$38.43	-	100%	$38.43	$34.94	$3.49	BUNNINGS WAREHOUSE STAF STAFFORD
28 Dec 2023	7 REES ST EXPENSES	$407.95	-	100%	$407.95	$370.86	$37.09	Service ducted air conditioner
11 Apr 2024	7 REES ST EXPENSES	$48.50	-	100%	$48.50	$44.09	$4.41	Air B&B expenses
12 Apr 2024	7 REES ST EXPENSES	$41.42	-	100%	$41.42	$37.65	$3.77	Hire of Brits carpet cleaning machine
24 Oct 2023	7 REES ST EXPENSES	$95.52	-	100%	$95.52	$86.84	$8.68	Wheel & Barrow glasses
20 Mar 2024	7 REES ST EXPENSES	$84.06	-	100%	$84.06	$76.42	$7.64	SUNLITE MITRE 10 PADDINGTON
10 Oct 2023	7 REES ST EXPENSES	$116.61	-	100%	$116.61	$106.01	$10.60	Shampoo and conditioner drain cleaner, food
22 Mar 2024	7 REES ST EXPENSES	$8.49	-	100%	$8.49	$7.72	$0.77	20 Kg cement
25 Mar 2024	7 REES ST EXPENSES	$57.60	-	100%	$57.60	$52.36	$5.24	Fluorescent lamp globes for external light
25 Mar 2024	7 REES ST EXPENSES	$52.36	-	100%	$52.36	$47.60	$4.76	Compact fluorescent lamp globes
24 Oct 2023	7 REES ST EXPENSES	$26.50	-	100%	$26.50	$24.09	$2.41	Air B&B expenses
27 Mar 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
12 Oct 2023	7 REES ST EXPENSES	$50.85	-	100%	$50.85	$46.23	$4.62	SUNLITE MITRE 10 PADDINGTON
